Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sun Sep 27 01:20:36 2020
Invocation: foremost -i extracted_tcp 
Output directory: /home/ntj/writeups/bsidesbos/forensics/spycam/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: extracted_tcp
Start: Sun Sep 27 01:20:36 2020
Length: 18 MB (19812182 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00000001.jpg 	      16 KB 	        808 	 
1:	00000035.jpg 	      16 KB 	      18135 	 
2:	00000069.jpg 	      16 KB 	      35506 	 
3:	00000103.jpg 	      16 KB 	      52877 	 
4:	00000137.jpg 	      17 KB 	      70248 	 
5:	00000171.jpg 	      17 KB 	      87820 	 
6:	00000205.jpg 	      17 KB 	     105441 	 
7:	00000240.jpg 	      17 KB 	     123062 	 
8:	00000275.jpg 	      17 KB 	     140809 	 
9:	00000309.jpg 	      17 KB 	     158556 	 
10:	00000344.jpg 	      17 KB 	     176303 	 
11:	00000379.jpg 	      17 KB 	     194157 	 
12:	00000414.jpg 	      17 KB 	     212011 	 
13:	00000448.jpg 	      17 KB 	     229866 	 
14:	00000483.jpg 	      17 KB 	     247721 	 
15:	00000518.jpg 	      17 KB 	     265665 	 
16:	00000553.jpg 	      17 KB 	     283609 	 
17:	00000588.jpg 	      17 KB 	     301521 	 
18:	00000623.jpg 	      17 KB 	     319433 	 
19:	00000658.jpg 	      17 KB 	     337396 	 
20:	00000694.jpg 	      17 KB 	     355359 	 
21:	00000729.jpg 	      17 KB 	     373346 	 
22:	00000764.jpg 	      17 KB 	     391493 	 
23:	00000800.jpg 	      17 KB 	     409640 	 
24:	00000835.jpg 	      17 KB 	     427787 	 
25:	00000871.jpg 	      17 KB 	     446113 	 
26:	00000907.jpg 	      17 KB 	     464439 	 
27:	00000943.jpg 	      17 KB 	     482845 	 
28:	00000979.jpg 	      17 KB 	     501251 	 
29:	00001015.jpg 	      17 KB 	     519681 	 
30:	00001050.jpg 	      17 KB 	     538111 	 
31:	00001086.jpg 	      17 KB 	     556484 	 
32:	00001122.jpg 	      17 KB 	     574857 	 
33:	00001158.jpg 	      17 KB 	     593200 	 
34:	00001194.jpg 	      17 KB 	     611543 	 
35:	00001230.jpg 	      17 KB 	     629991 	 
36:	00001266.jpg 	      18 KB 	     648439 	 
37:	00001302.jpg 	      18 KB 	     667045 	 
38:	00001339.jpg 	      18 KB 	     685651 	 
39:	00001375.jpg 	      18 KB 	     704390 	 
40:	00001412.jpg 	      18 KB 	     723129 	 
41:	00001449.jpg 	      18 KB 	     741983 	 
42:	00001486.jpg 	      18 KB 	     760837 	 
43:	00001522.jpg 	      18 KB 	     779665 	 
44:	00001559.jpg 	      18 KB 	     798493 	 
45:	00001596.jpg 	      18 KB 	     817404 	 
46:	00001633.jpg 	      18 KB 	     836315 	 
47:	00001670.jpg 	      18 KB 	     855181 	 
48:	00001707.jpg 	      18 KB 	     874047 	 
49:	00001744.jpg 	      18 KB 	     893111 	 
50:	00001781.jpg 	      18 KB 	     912175 	 
51:	00001818.jpg 	      18 KB 	     931293 	 
52:	00001856.jpg 	      18 KB 	     950411 	 
53:	00001893.jpg 	      18 KB 	     969645 	 
54:	00001931.jpg 	      18 KB 	     988879 	 
55:	00001969.jpg 	      18 KB 	    1008159 	 
56:	00002006.jpg 	      18 KB 	    1027439 	 
57:	00002044.jpg 	      18 KB 	    1046623 	 
58:	00002081.jpg 	      18 KB 	    1065807 	 
59:	00002119.jpg 	      18 KB 	    1084936 	 
60:	00002156.jpg 	      18 KB 	    1104065 	 
61:	00002194.jpg 	      18 KB 	    1123339 	 
62:	00002231.jpg 	      18 KB 	    1142613 	 
63:	00002269.jpg 	      18 KB 	    1161964 	 
64:	00002307.jpg 	      18 KB 	    1181315 	 
65:	00002345.jpg 	      18 KB 	    1200803 	 
66:	00002383.jpg 	      19 KB 	    1220291 	 
67:	00002421.jpg 	      19 KB 	    1239871 	 
68:	00002459.jpg 	      19 KB 	    1259451 	 
69:	00002498.jpg 	      19 KB 	    1279028 	 
70:	00002536.jpg 	      19 KB 	    1298605 	 
71:	00002574.jpg 	      19 KB 	    1318161 	 
72:	00002612.jpg 	      19 KB 	    1337717 	 
73:	00002651.jpg 	      19 KB 	    1357470 	 
74:	00002689.jpg 	      19 KB 	    1377223 	 
75:	00002728.jpg 	      19 KB 	    1397052 	 
76:	00002767.jpg 	      19 KB 	    1416881 	 
77:	00002806.jpg 	      19 KB 	    1436833 	 
78:	00002845.jpg 	      19 KB 	    1456785 	 
79:	00002884.jpg 	      19 KB 	    1476765 	 
80:	00002923.jpg 	      19 KB 	    1496745 	 
81:	00002962.jpg 	      19 KB 	    1516658 	 
82:	00003001.jpg 	      19 KB 	    1536571 	 
83:	00003040.jpg 	      19 KB 	    1556500 	 
84:	00003078.jpg 	      19 KB 	    1576429 	 
85:	00003118.jpg 	      19 KB 	    1596617 	 
86:	00003157.jpg 	      19 KB 	    1616805 	 
87:	00003197.jpg 	      19 KB 	    1637157 	 
88:	00003237.jpg 	      19 KB 	    1657509 	 
89:	00003277.jpg 	      19 KB 	    1677906 	 
90:	00003316.jpg 	      19 KB 	    1698303 	 
91:	00003356.jpg 	      19 KB 	    1718602 	 
92:	00003396.jpg 	      19 KB 	    1738901 	 
93:	00003435.jpg 	      19 KB 	    1759208 	 
94:	00003475.jpg 	      19 KB 	    1779515 	 
95:	00003514.jpg 	      19 KB 	    1799679 	 
96:	00003554.jpg 	      19 KB 	    1819843 	 
97:	00003594.jpg 	      19 KB 	    1840157 	 
98:	00003633.jpg 	      19 KB 	    1860471 	 
99:	00003673.jpg 	      19 KB 	    1881026 	 
100:	00003714.jpg 	      20 KB 	    1901581 	 
101:	00003754.jpg 	      20 KB 	    1922342 	 
102:	00003795.jpg 	      20 KB 	    1943103 	 
103:	00003836.jpg 	      20 KB 	    1964037 	 
104:	00003876.jpg 	      20 KB 	    1984971 	 
105:	00003917.jpg 	      20 KB 	    2005783 	 
106:	00003958.jpg 	      20 KB 	    2026595 	 
107:	00003998.jpg 	      20 KB 	    2047473 	 
108:	00004039.jpg 	      20 KB 	    2068351 	 
109:	00004080.jpg 	      20 KB 	    2089211 	 
110:	00004121.jpg 	      20 KB 	    2110071 	 
111:	00004162.jpg 	      20 KB 	    2131208 	 
112:	00004203.jpg 	      20 KB 	    2152345 	 
113:	00004244.jpg 	      20 KB 	    2173384 	 
114:	00004285.jpg 	      20 KB 	    2194423 	 
115:	00004327.jpg 	      20 KB 	    2215675 	 
116:	00004368.jpg 	      20 KB 	    2236927 	 
117:	00004410.jpg 	      20 KB 	    2258329 	 
118:	00004452.jpg 	      20 KB 	    2279731 	 
119:	00004494.jpg 	      20 KB 	    2301008 	 
120:	00004535.jpg 	      20 KB 	    2322285 	 
121:	00004577.jpg 	      20 KB 	    2343558 	 
122:	00004618.jpg 	      20 KB 	    2364831 	 
123:	00004660.jpg 	      20 KB 	    2386330 	 
124:	00004702.jpg 	      21 KB 	    2407829 	 
125:	00004745.jpg 	      21 KB 	    2429442 	 
126:	00004787.jpg 	      20 KB 	    2451055 	 
127:	00004829.jpg 	      20 KB 	    2472603 	 
128:	00004871.jpg 	      20 KB 	    2494151 	 
129:	00004913.jpg 	      20 KB 	    2515554 	 
130:	00004954.jpg 	      20 KB 	    2536957 	 
131:	00004996.jpg 	      20 KB 	    2558359 	 
132:	00005038.jpg 	      20 KB 	    2579761 	 
133:	00005079.jpg 	      20 KB 	    2600940 	 
134:	00005121.jpg 	      20 KB 	    2622119 	 
135:	00005162.jpg 	      20 KB 	    2643428 	 
136:	00005204.jpg 	      20 KB 	    2664737 	 
137:	00005245.jpg 	      20 KB 	    2685874 	 
138:	00005287.jpg 	      20 KB 	    2707011 	 
139:	00005328.jpg 	      20 KB 	    2728159 	 
140:	00005369.jpg 	      20 KB 	    2749307 	 
141:	00005411.jpg 	      20 KB 	    2770443 	 
142:	00005452.jpg 	      20 KB 	    2791579 	 
143:	00005493.jpg 	      20 KB 	    2812481 	 
144:	00005533.jpg 	      20 KB 	    2833383 	 
145:	00005574.jpg 	      20 KB 	    2854246 	 
146:	00005615.jpg 	      20 KB 	    2875109 	 
147:	00005656.jpg 	      20 KB 	    2896117 	 
148:	00005697.jpg 	      20 KB 	    2917125 	 
149:	00005738.jpg 	      20 KB 	    2938121 	 
150:	00005779.jpg 	      20 KB 	    2959117 	 
151:	00005820.jpg 	      20 KB 	    2979876 	 
152:	00005860.jpg 	      20 KB 	    3000635 	 
153:	00005900.jpg 	      20 KB 	    3021221 	 
154:	00005941.jpg 	      20 KB 	    3041807 	 
155:	00005981.jpg 	      20 KB 	    3062426 	 
156:	00006021.jpg 	      19 KB 	    3083045 	 
157:	00006061.jpg 	      19 KB 	    3103588 	 
158:	00006101.jpg 	      20 KB 	    3124131 	 
159:	00006142.jpg 	      20 KB 	    3144912 	 
160:	00006182.jpg 	      20 KB 	    3165693 	 
161:	00006223.jpg 	      20 KB 	    3186613 	 
162:	00006264.jpg 	      20 KB 	    3207533 	 
163:	00006305.jpg 	      20 KB 	    3228444 	 
164:	00006346.jpg 	      20 KB 	    3249355 	 
165:	00006387.jpg 	      20 KB 	    3270274 	 
166:	00006428.jpg 	      20 KB 	    3291193 	 
167:	00006468.jpg 	      20 KB 	    3311945 	 
168:	00006509.jpg 	      20 KB 	    3332697 	 
169:	00006549.jpg 	      20 KB 	    3353443 	 
170:	00006590.jpg 	      20 KB 	    3374189 	 
171:	00006630.jpg 	      20 KB 	    3395037 	 
172:	00006671.jpg 	      20 KB 	    3415885 	 
173:	00006712.jpg 	      20 KB 	    3436833 	 
174:	00006753.jpg 	      20 KB 	    3457781 	 
175:	00006794.jpg 	      20 KB 	    3478669 	 
176:	00006835.jpg 	      20 KB 	    3499557 	 
177:	00006875.jpg 	      20 KB 	    3520353 	 
178:	00006916.jpg 	      20 KB 	    3541149 	 
179:	00006956.jpg 	      20 KB 	    3561839 	 
180:	00006997.jpg 	      19 KB 	    3582529 	 
181:	00007037.jpg 	      19 KB 	    3603032 	 
182:	00007077.jpg 	      20 KB 	    3623535 	 
183:	00007117.jpg 	      20 KB 	    3644205 	 
184:	00007157.jpg 	      20 KB 	    3664875 	 
185:	00007198.jpg 	      20 KB 	    3685713 	 
186:	00007239.jpg 	      20 KB 	    3706551 	 
187:	00007280.jpg 	      20 KB 	    3727433 	 
188:	00007320.jpg 	      20 KB 	    3748315 	 
189:	00007361.jpg 	      20 KB 	    3769289 	 
190:	00007402.jpg 	      20 KB 	    3790263 	 
191:	00007443.jpg 	      20 KB 	    3811160 	 
192:	00007484.jpg 	      20 KB 	    3832057 	 
193:	00007525.jpg 	      20 KB 	    3852855 	 
194:	00007565.jpg 	      20 KB 	    3873653 	 
195:	00007606.jpg 	      20 KB 	    3894391 	 
196:	00007646.jpg 	      20 KB 	    3915129 	 
197:	00007687.jpg 	      20 KB 	    3936024 	 
198:	00007728.jpg 	      20 KB 	    3956919 	 
199:	00007768.jpg 	      20 KB 	    3977717 	 
200:	00007809.jpg 	      20 KB 	    3998515 	 
201:	00007850.jpg 	      20 KB 	    4019409 	 
202:	00007891.jpg 	      20 KB 	    4040303 	 
203:	00007931.jpg 	      20 KB 	    4061172 	 
204:	00007972.jpg 	      20 KB 	    4082041 	 
205:	00008013.jpg 	      20 KB 	    4102725 	 
206:	00008053.jpg 	      20 KB 	    4123409 	 
207:	00008094.jpg 	      20 KB 	    4144157 	 
208:	00008134.jpg 	      20 KB 	    4164905 	 
209:	00008175.jpg 	      20 KB 	    4185629 	 
210:	00008215.jpg 	      20 KB 	    4206353 	 
211:	00008256.jpg 	      20 KB 	    4227137 	 
212:	00008296.jpg 	      20 KB 	    4247921 	 
213:	00008337.jpg 	      20 KB 	    4268644 	 
214:	00008377.jpg 	      20 KB 	    4289367 	 
215:	00008417.jpg 	      20 KB 	    4309933 	 
216:	00008458.jpg 	      20 KB 	    4330499 	 
217:	00008498.jpg 	      20 KB 	    4351144 	 
218:	00008538.jpg 	      19 KB 	    4371789 	 
219:	00008578.jpg 	      19 KB 	    4392351 	 
220:	00008618.jpg 	      20 KB 	    4412913 	 
221:	00008659.jpg 	      20 KB 	    4433694 	 
222:	00008700.jpg 	      20 KB 	    4454475 	 
223:	00008740.jpg 	      20 KB 	    4475302 	 
224:	00008781.jpg 	      20 KB 	    4496129 	 
225:	00008822.jpg 	      20 KB 	    4516973 	 
226:	00008862.jpg 	      20 KB 	    4537817 	 
227:	00008903.jpg 	      20 KB 	    4558613 	 
228:	00008944.jpg 	      19 KB 	    4579409 	 
229:	00008984.jpg 	      19 KB 	    4599932 	 
230:	00009024.jpg 	      19 KB 	    4620455 	 
231:	00009064.jpg 	      19 KB 	    4640861 	 
232:	00009104.jpg 	      19 KB 	    4661267 	 
233:	00009144.jpg 	      19 KB 	    4681778 	 
234:	00009184.jpg 	      19 KB 	    4702289 	 
235:	00009224.jpg 	      19 KB 	    4722841 	 
236:	00009264.jpg 	      19 KB 	    4743393 	 
237:	00009304.jpg 	      19 KB 	    4763824 	 
238:	00009344.jpg 	      19 KB 	    4784255 	 
239:	00009384.jpg 	      19 KB 	    4804741 	 
240:	00009424.jpg 	      19 KB 	    4825227 	 
241:	00009464.jpg 	      19 KB 	    4845644 	 
242:	00009504.jpg 	      19 KB 	    4866061 	 
243:	00009543.jpg 	      19 KB 	    4886298 	 
244:	00009583.jpg 	      19 KB 	    4906535 	 
245:	00009622.jpg 	      19 KB 	    4926594 	 
246:	00009661.jpg 	      19 KB 	    4946653 	 
247:	00009700.jpg 	      19 KB 	    4966755 	 
248:	00009739.jpg 	      19 KB 	    4986857 	 
249:	00009778.jpg 	      19 KB 	    5006847 	 
250:	00009818.jpg 	      19 KB 	    5026837 	 
251:	00009857.jpg 	      19 KB 	    5046874 	 
252:	00009896.jpg 	      19 KB 	    5066911 	 
253:	00009935.jpg 	      19 KB 	    5086973 	 
254:	00009974.jpg 	      19 KB 	    5107035 	 
255:	00010013.jpg 	      19 KB 	    5127103 	 
256:	00010053.jpg 	      19 KB 	    5147171 	 
257:	00010092.jpg 	      19 KB 	    5167237 	 
258:	00010131.jpg 	      19 KB 	    5187303 	 
259:	00010170.jpg 	      19 KB 	    5207356 	 
260:	00010209.jpg 	      19 KB 	    5227409 	 
261:	00010248.jpg 	      19 KB 	    5247340 	 
262:	00010287.jpg 	      19 KB 	    5267271 	 
263:	00010326.jpg 	      19 KB 	    5287372 	 
264:	00010366.jpg 	      19 KB 	    5307473 	 
265:	00010405.jpg 	      19 KB 	    5327706 	 
266:	00010445.jpg 	      19 KB 	    5347939 	 
267:	00010484.jpg 	      19 KB 	    5368266 	 
268:	00010524.jpg 	      19 KB 	    5388593 	 
269:	00010564.jpg 	      19 KB 	    5408975 	 
270:	00010604.jpg 	      19 KB 	    5429357 	 
271:	00010643.jpg 	      19 KB 	    5449669 	 
272:	00010683.jpg 	      19 KB 	    5469981 	 
273:	00010723.jpg 	      19 KB 	    5490218 	 
274:	00010762.jpg 	      19 KB 	    5510455 	 
275:	00010802.jpg 	      19 KB 	    5530751 	 
276:	00010841.jpg 	      19 KB 	    5551047 	 
277:	00010881.jpg 	      19 KB 	    5571529 	 
278:	00010921.jpg 	      19 KB 	    5592011 	 
279:	00010961.jpg 	      19 KB 	    5612477 	 
280:	00011001.jpg 	      19 KB 	    5632943 	 
281:	00011041.jpg 	      19 KB 	    5653389 	 
282:	00011081.jpg 	      19 KB 	    5673835 	 
283:	00011121.jpg 	      19 KB 	    5694203 	 
284:	00011161.jpg 	      19 KB 	    5714571 	 
285:	00011200.jpg 	      19 KB 	    5734875 	 
286:	00011240.jpg 	      19 KB 	    5755179 	 
287:	00011280.jpg 	      19 KB 	    5775480 	 
288:	00011319.jpg 	      19 KB 	    5795781 	 
289:	00011359.jpg 	      19 KB 	    5816189 	 
290:	00011399.jpg 	      19 KB 	    5836597 	 
291:	00011439.jpg 	      19 KB 	    5856998 	 
292:	00011479.jpg 	      19 KB 	    5877399 	 
293:	00011519.jpg 	      19 KB 	    5897780 	 
294:	00011558.jpg 	      19 KB 	    5918161 	 
295:	00011598.jpg 	      19 KB 	    5938507 	 
296:	00011638.jpg 	      19 KB 	    5958853 	 
297:	00011677.jpg 	      19 KB 	    5978966 	 
298:	00011716.jpg 	      19 KB 	    5999079 	 
299:	00011756.jpg 	      19 KB 	    6019110 	 
300:	00011795.jpg 	      19 KB 	    6039141 	 
301:	00011834.jpg 	      19 KB 	    6059385 	 
302:	00011874.jpg 	      19 KB 	    6079629 	 
303:	00011913.jpg 	      19 KB 	    6099905 	 
